ID,Question,Answer,Choice_A,Choice_B,Choice_C,Choice_D,Rationale_A,Rationale_B,Rationale_C,Rationale_D
768,"When s = 9 and t = 25, What is the value of the expression 4 \\sqrt(s) + \\sqrt(4t)",B,16,22,32,68,Multiplied the 4 by both variables before finding the square roots rather than finding the square root of s and then multiplying that value by 4.,Substituted the values for the variables and used the correct order of operations to evaluate the expression.,Found the square root of each variable and then multiplied those values by 4 rather than multiplying the value of t by 4 before finding its square root.,Divided the values by 2 instead of finding the square roots.
769,Which expression is the same as the following expression (x^2 + 4) / x + (2x^2 + 1) / (2x).,D, (3x^2 + 5) / 3x , (3x^2 + 5) / 2x^2 , (4x^2 + 5) / 2x , (4x^2 + 9) / 2x ,Separately added the numerators and added the denominators.,Added the numerators and multiplied the denominators.,"Considered that like denominators are needed, but did not distribute completely through when multiplying (x^2 + 4) by 2.","Recognized that like denominators are needed in order to add this expression. To obtain like denominators, multiplied the first term by 2/2, which yielded (2x^2 + 8)/2x. Then added numerators to obtain (4x^2 + 9)/2x."
770,A linear equation is provided. f(x) = (1/2)x + 2. Which statement represents the graph of this functino if the slope is set to 8?,A,The graph will be steeper.,The graph will be less steep.,The graph will shift up 6 units.,The graph will shift up 8 units.,Recognized that the line becomes steeper when the slope is increased.,Considered that the line became less steep when the slope increased.,Considered the slope and y-intercept.,Considered the change in slope shifted the graph.
771,"The discriminant, represented by b^2 - 4ac, of a quadratic equation ax^2 + bx + c = 0 is 17. What kind of numbers are solutions to the equation?",B,Integer,Irrational,Non-real complex,Rational,Considered the discriminant is the solution.,The square root of 17 is an irrational number.,Considered the square root of 17 is a non-real complex number.,Considered the square root of 17 is a rational number.
772,A robot moves at a constant speed of 10 meters per hour. How many kilometers will the robot travel in 2 days?,A,0.48 kilometer,480 kilometers,"1,480 kilometers","480,000 kilometers","Calculated that the machine would travel 480 meters in 2 days, and then divided by 1000 to convert to kilometers.","Calculated the number of meters the machine traveled in two days, but did not convert to kilometers.",Added 1000 to the number of meters traveled by the machine in order to convert the measurement to kilometers.,"Calculated that the machine traveled 480 meters in two days, but multiplied by 1000 in an attempt to convert to kilometers."
773,"On Thursday morning, an art dealer sold 5 paintings. The price of each painting sold is shown: $25,410, $19,680, $23,540, $20,370, $23,680. On Thursday afternoon, she sold only 1 painting for $22,990. Which summary statistic increased with the sale of the painting in the afternoon?",A,Mean,Median,Mode,Range,"Mean changes from 22,536 to 22611.67.",The additional sale lowered the median.,Switched mean and mode.,Computed range using first and last prices listed. Adding new price as last price listed increases the range.
774,Consider the following equation. \\sqrt(x + 3) = 2x. What is the solution to the equation?,D, x = −1  and x = 3/4 , x = −3/4  and x = 1 , x = −3/4 , x = 1 ,Solved the equation but switched the signed of the x- and y- coordinates and did not realize that there is only one valid solution.,Solved the equation but did not realized that there is only one valid solution.,Correctly solved the equation but thought that -3/4 was a valid solution.,"Squared both sides, simplified (4x^2 - x - 3), factored ((4x + 3)(x - 1)), recognized only x - 1 is a valid solution."
775,Ella conducted a survey on how frequently people visit parks. She surveyed park employees in her city. What is the best way Ella could change her survey to decrease the likelihood of biased results?,D,Increase the sample size.,Decrease the sample size.,Survey a random group of park employees at the mall.,Survey a random group of employees at the mall.,Considered biased results with the margin of error.,Considered the change in the margin of error would make the results less biased.,Considered random selection of park employees would make the results less biased.,Identified the best method for decreasing the likelihood of biased results.
776,"Jasmine invested $5,000 in a company's stock. Each year, the stock's value decreased by 10% of its value from the previous year. Which equation can be used to represent the value, V, of Jasmine's investment, in terms of the number of years, t, since she made the investment?",D," V = 5,000 − 0.9t "," V = 5,000 − 0.1t "," V = 5,000 (1.1)t "," V = 5,000 (0.9)t ",Chose a linear function with a slope of -0.9.,Chose a linear function with a slope of -0.1.,Chose an exponential function in which the value increases by 10% instead of decreasing.,"The initial value is $5,000 and the base represents a 10% decrease in value each year."
777,"Before hiring a software developer, the project manager uses a random number simulation to estimate the probability that exactly 3 out of the next 5 candidates she interviews will be qualified. She runs 10 trials, A - J, and uses 0, 1, 2, 3, 4, 5 to represent qualified candidates and 6, 7, 8, 9 to represent unqualified candidates. Hiring Simulation Trials (for candidates 1-5): Trial A - 1, 4, 9, 2, 8, Trial B - 9, 2, 4, 0, 9, Trial C - 1, 1, 5, 8, 9, Trial D - 0, 0, 2, 1, 7, Trial E - 1, 4, 3, 9, 1, Trial F - 8, 6, 0, 9, 7, Trial G - 3, 2, 9, 9, 0, Trial H - 1, 6, 9, 6, 3, Trial I - 0, 9, 1, 3, 1, Trial J - 2, 8, 3, 5, 6. What is the experimental probability that exactly 3 out of the next 5 candidates she interviews are qualified?",B,0.35,0.5,0.6,1,Calculated the theoretical probability for the situation. 5 Combination 3 x (0.6)^3  x  (0.4)^2 = 0.3456.,"Counted the number of qualified cashiers on each line. In this case there are 5 trials (A, B, C, G, and J) with exactly 3 qualified cashiers. The experimental probability for this situation is 5/10 = 0.5 .",Counted the total number of observations that were successes (30) and divided by the total number of observations. 30/50 = 0.60,Counted all rows that had a success. There was a qualified cashier in every row. 10/10 = 1.00
778,What expression is identical to the mathematical expression (3x - 5)(x + 7)?,A, 3x^2 + 16x − 35 , 3x^2 − 16x − 35 , 3x^2 − 26x − 35 , 3x^2 + 26x − 35 ,(3x - 5)(x + 7) = 3x<sup>2</sup> + 21x - 5x - 35 = 3x<sup>2</sup> +16x - 35,Calculated the middle terms and switched the signs.,Calculated both middle terms as negative values.,Calcuated both middle terms as positive values.
779,"On a coordinate plane, what is the relationship between the graph of f(x) = 5x^2 + 3 and the graph of g(x) = 5x^2?",C,3 units left,3 units right,3 units up,3 units down,Chose a movement on the horizontal axis.,Chose a movement on the horizontal axis.,Correct.,Chose a movement in the wrong direction on the vertical axis.
780,Which equation can be classified as a function?,C, x − | y | = 0 , x^2 + y^2 = 1 , y − x^2 = 0 , y^2 − x = 0 ,y = + or – (x),y = + or – √(1 – x^2),y = x^2 is a function.,y = + or – √ (x ^2)
781,"Calculate the solution for x in x^2 - 195x - 1,000 = 0.",D," x = −1,000 or −195 ", x = −20 or 50 , x = −10 or 100 , x = −5 or 200 ,Used the coefficients as the solutions.,Factored incorrectly.,Factored incorrectly.,"Factored (x + 5)(x - 200), x = -5 or x = 200."
782,"Given the parabola function y = (x - 2)^2 + 3, what is the coordinates of the vertex of the parabola?",D," (−2, −3) "," (−2, 3) "," (2, − 3) "," (2, 3) ",Used the incorrect sign on both coordinates of the vertex.,Used the incorrect sign on the x-coordinate of the vertex.,Used the incorrect sign on the y-coordinate of the vertex.,"Vertex form of a parabola y = a(x - h)^2 + k, vertex (h, k)."
783,"The coordinates of the midpoint of a line segment are (-7, 3). The coordinates of one endpoint are (-3, 1). What are the coordinates of the other endpoint?",B," (−17, 7) "," (−11, 5) "," (−5, 2) "," (−4, 2) ",Solved for x + 3 = -7(2) and y -1 = 3(2).,"(x-3)/2, (y+1)/2 = (-7, 3)",Calculated the midpoint of the two points in the problem.,Did not divide values by 2 and solved x – 3 = -7 and y + 1 = 3.
784,"Four students want to join a study group. The organizer can choose 1, 2, 3, or 4 of the students to participate. How many different combinations of students could the organizer select?",B,4,15,24,33,Used the total number of students possible. ,"Used the counting principle or a tree diagram to show: 1 student team - 4 choices, 2 student team - 6 choices, 3 student team - 4 choices, and 4 student team - 1 choice. Then added the results: 1 + 4 + 6 + 4 = 15.",Multiplied team members: 1 x 2 x 3 x 4 = 24. ,"Multiplied consecutive values for each number of students on a team. 4 students: 4 x 3 x 2 x 1, 3 students: 3 x 2 x 1, 2 students: 2 x 1, and 1 student: 1. Then added the results: 24 + 6 + 2 + 1 = 33. "
785,"Emma is a student in Mr. Taylor's class. Mr. Taylor will randomly select names from a box to form pairs for a class project. Once he selects a name, he will not replace it. The class has 10 boys and 15 girls. What is the probability that Emma's name is picked first, followed by another girl's name?",B, 14/625 , 7/300 , 3/125 , 7/20 ,"Calculated the probability that Emma’s name is picked, then calculated the probability of picking a girl’s name. Subtracted Emma’s name from the number of girl but not from the total.",Calculated the probability that Emma’s name is picked (1/25) multiplied by the probability of picking a girl after Emma’s name is removed (14/24). 1/25 x 14/24 = 14/600 = 7/300.,"Calculated the probability that Emma’s name is picked, then calculated the probability of picking a girl’s name. Did not subtract Emma’s name from the number of girls or from the total.",Calculated the probability of picking 2 girls’ names in a row.
786,What is an identical expression to 112x - 9x^2?,A, x (112 − 9x) , 9x (112 − x) , 103x , 103x^2 ,Factored an x out of each term.,Factored 9x out of second term but only factored x out of first term.,Subtracted without regard to like terms and used the variable with the lesser exponent.,Subtracted without regard to like terms and used the variable with the larger exponent.
787,"Liam used a prepaid card to buy ebooks for his e-reader. Each ebook cost the same amount. After he purchased 3 ebooks, he had $34.61 left on the prepaid card. When he had bought a total of 7 ebooks, he had $30.65 left on the card. What equation represents the remaining balance on the prepaid card, y, in relation to the number of ebooks that Liam purchased, x?",B, y = − 0.99x + 34.61 , y = − 0.99x + 37.58 , y = 0.99x + 23.72 , y = 0.99x + 31.64 ,Used y-coordinate as y-intercept.,"Calculated the equation of a line using points (3, 34.61) and (7, 30.65).",Did not subtract coordinates in correct order to find slope.,Did not subtract coordinates in correct order to find slope.
788,which mathematical expression is the same as x(x+1)(x+2)?,D, 3x + 3 , x^2 + 4x + 2 , x^3 + 2x , x^3 + 3x^2 + 2x ,Calculated the sum of the 3 factors.,Multiplied the two binomials then added a factor of x rather than multiplying.,"Multiplied the binomials as x² + 2, then multiplied both terms by x.",x(x² + 3x + 2) = x³ + 3x² + 2x
789,"The number of cells in a yeast culture, Y, can be represented by the equation Y = Y₀ • 2^(t/15), where Y₀ is the initial cell count and t is the time in minutes. If the culture begins with 50 cells, after how many minutes will the cell count reach 12,800?",B,8 minutes,120 minutes,"1,920 minutes","10,500 minutes",Calculated the power of 2 that equals 256.,"12,800 = 50 × (2)^(t/15); 256 = (2)^(t/15); 2^8 = 2^(t/15) so t = 120.",Divided 256 by 2 and then multiplied this result by 15.,"Did not include the original cells. Used power of 2 that equals 128, (7), multiplied by 100, and then multiplied by 15 from exponent."
